Player,Position,Team(s),Date_of_Birth,Height,Weight,College,Years_Played
Moliki Matavao,TE,NO,3/17/2003,80,263,UCLA,0
Seth Green,TE,NO,2/14/1998,76,240,Houston; Minnesota,0
Treyton Welch,TE,NO,1/10/2001,76,240,Wyoming,1
Bub Means,WR,NO,1/10/2001,74,215,Pittsburgh; Louisiana Tech,2
Chris Olave,WR,NO,6/27/2000,72,187,Ohio State,4
Dante Pettis,WR,NO,10/23/1995,74,200,Washington,7
Devaughn Vele,WR,NO,12/12/1997,77,210,Utah,2
Kevin Austin Jr.,WR,NO,3/30/2000,74,200,Notre Dame,2
Mason Tipton,WR,NO,9/27/2000,71,187,Yale,2
Moochie Dixon,WR,NO,,,,,
Roderick Daniels Jr.,WR,NO,,,,,
Tommy Mellott,WR,NO,10/16/2001,72,208,Montana State,0
Trey Palmer,WR,NO,4/2/2001,73,190,Nebraska; LSU,3
Audric Estimé,RB,"NO, PHI",9/6/2003,71,227,Notre Dame,2
Elijah Cooks,WR,"NO, PHI",10/13/1998,76,215,San Jose State; Nevada,2
Beanie Bishop Jr.,DB,"NO, PIT",12/17/1999,70,184,West Virginia; Minnesota; Western Kentucky,2
Evan Hull,RB,"NO, PIT",10/26/2000,70,209,Northwestern,2
Sataoa Laumea,OL,"NO, SEA",1/13/2001,76,319,Utah,2
Shane Lemieux,OL,"NO, SEA",5/12/1997,76,310,Oregon,6
Velus Jones Jr.,RB,"NO, SEA",5/11/1997,72,200,Tennessee; USC,5
Rashid Shaheed,WR,"NO, SEA",8/31/1998,72,180,Weber State,4
Jha'Quan Jackson,WR,"NO, TEN",5/15/2000,69,188,Tulane,2
Andru Phillips,DB,NYG,11/30/2001,71,180,Kentucky,2
Anthony Johnson Jr.,DB,NYG,12/2/1999,72,205,Iowa State,3
Art Green,DB,NYG,4/29/2000,74,201,Houston,2
Beau Brade,DB,NYG,1/29/2002,72,209,Maryland,2
Cordale Flott,DB,NYG,8/24/2001,73,175,LSU,4
Dane Belton,DB,NYG,12/7/2000,73,190,Iowa,4
Deonte Banks,DB,NYG,4/3/2001,74,200,Maryland,3
Jevon Holland,DB,NYG,3/3/2000,73,207,Oregon,5
Makari Paige,DB,NYG,,,,,
Nic Jones,DB,NYG,10/15/2001,72,189,Ball State,2
O'Donnell Fortune,DB,NYG,,,,,
Paulson Adebo,DB,NYG,7/3/1999,73,192,Stanford,5
Raheem Layne,DB,NYG,7/2/1999,71,192,Indiana,3
Rico Payton,DB,NYG,11/28/1999,72,182,Pittsburg State (KS); Southern Illinois,2
TJ Moore,DB,NYG,12/15/2001,72,187,Mercer,0
Tyler Nubin,DB,NYG,6/14/2001,74,210,Minnesota,2
Chauncey Golston,DL,NYG,2/10/1998,77,277,Iowa,5
DJ Davidson,DL,NYG,9/19/1999,77,320,Arizona State,4
Darius Alexander,DL,NYG,8/26/2000,76,310,Toledo,0
Dexter Lawrence,DL,NYG,11/12/1997,76,340,Clemson,7
Elijah Chatman,DL,NYG,12/5/2000,72,278,SMU,2
Jeremiah Ledbetter,DL,NYG,5/29/1994,75,299,Arkansas; Hutchinson CC,4
Rakeem Nunez-Roches,DL,NYG,7/3/1993,74,305,Southern Mississippi,11
Roy Robertson-Harris,DL,NYG,7/23/1993,79,300,Texas-El Paso,9
Graham Gano,K,NYG,4/9/1987,74,202,Florida State,16
Jude McAtamney,K,NYG,5/9/2000,74,205,Rutgers,1
Abdul Carter,LB,NYG,1/2/2004,75,252,Penn State,0
Bobby Okereke,LB,NYG,7/29/1996,73,235,Stanford,7
Brian Burns,LB,NYG,4/23/1998,77,250,Florida State,7
Chauncey Golston,LB,NYG,2/10/1998,77,277,Iowa,5
Chris Board,LB,NYG,7/23/1995,74,229,North Dakota State,8
Darius Muasau,LB,NYG,2/10/2001,72,234,UCLA; Hawaii,2
Demetrius Flannigan-Fowles,LB,NYG,9/4/1996,74,223,Arizona,6
Dyontae Johnson,LB,NYG,9/28/2000,74,230,Toledo,1
Jonas Griffith,LB,NYG,1/27/1997,76,250,Indiana State,4
K.J. Cloyd,LB,NYG,2/19/2001,74,228,Miami; Louisville,0
Kayvon Thibodeaux,LB,NYG,12/15/2000,77,258,Oregon,4
Micah McFadden,LB,NYG,1/3/2000,74,232,Indiana,4
Neville Hewitt,LB,NYG,4/6/1993,74,234,Marshall; Georgia Military,11
Swayze Bozeman,LB,NYG,11/2/1998,73,224,Southern Mississippi; Copiah-Lincoln Junior College,1
Tomon Fox,LB,NYG,3/16/1998,74,245,North Carolina,3
Trace Ford,LB,NYG,1/24/2001,74,252,Oklahoma; Oklahoma State,0
Victor Dimukeje,LB,NYG,11/18/1999,74,262,Duke,5
Zaire Barnes,LB,NYG,9/3/1999,73,227,Western Michigan,3
Casey Kreiter,LS,NYG,8/13/1990,73,250,Iowa,10
Aaron Stinnie,OL,NYG,2/18/1994,75,312,James Madison,8
Andrew Thomas,OL,NYG,1/22/1999,77,315,Georgia,6
Austin Schlottmann,OL,NYG,9/18/1995,78,300,TCU,7
Bryan Hudson,OL,NYG,1/11/2001,77,305,Louisville,1
Evan Neal,OL,NYG,9/19/2000,79,340,Alabama,4
Greg Van Roten,OL,NYG,2/26/1990,76,295,Penn,11
Jaison Williams,OL,NYG,,,,,
Jake Kubas,OL,NYG,8/13/2000,76,308,North Dakota State,2
James Hudson,OL,NYG,5/13/1999,77,313,Cincinnati,5
Jermaine Eluemunor,OL,NYG,12/13/1994,76,338,Texas A&M; Lackawanna JC,9
John Michael Schmitz,OL,NYG,4/19/1999,76,320,Minnesota,3
Jon Runyan,OL,NYG,8/8/1997,76,307,Michigan,6
Joshua Ezeudu,OL,NYG,9/19/1999,76,310,North Carolina,4
Marcus Mbow,OL,NYG,4/2/2003,77,300,Purdue,0
Jamie Gillan,P,NYG,7/4/1997,73,207,University of Arkansas at Pine Bluff,7
Jameis Winston,QB,NYG,1/6/1994,76,231,Florida State,11
Jaxson Dart,QB,NYG,5/13/2003,74,223,Mississippi; USC,0
Russell Wilson,QB,NYG,11/29/1988,71,206,Wisconsin; N.C. State,14
Cam Skattebo,RB,NYG,2/5/2002,71,215,Arizona State; Sacramento State,0
Dante Miller,RB,NYG,5/14/1999,70,200,South Carolina; Columbia,1
Devin Singletary,RB,NYG,9/3/1997,67,203,Florida Atlantic,7
Eric Gray,RB,NYG,11/4/1999,70,210,Oklahoma; Tennessee,3
Tyrone Tracy Jr.,RB,NYG,11/23/1999,71,210,Purdue; Iowa,2
Chris Manhertz,TE,NYG,4/10/1992,78,235,Canisius College,10
Daniel Bellinger,TE,NYG,9/22/2000,78,255,San Diego State,4
Jermaine Terry,TE,NYG,,,,,
Theo Johnson,TE,NYG,2/26/2001,78,264,Penn State,2
Thomas Fidone II,TE,NYG,9/20/2002,78,255,Nebraska,0
Antwane Wells Jr.,WR,NYG,4/2/2001,73,207,Mississippi; South Carolina; James Madison,0
Beaux Collins,WR,NYG,12/16/2002,75,206,Notre Dame; Clemson,0
Bryce Ford-Wheaton,WR,NYG,3/9/2000,75,220,West Virginia,3
Da'Quan Felton,WR,NYG,1/13/2001,77,216,Virginia Tech; Norfolk State,0
Dalen Cambre,WR,NYG,4/10/2001,72,192,Louisiana,0
Darius Slayton,WR,NYG,1/12/1997,73,198,Auburn,7
Gunner Olszewski,WR,NYG,11/26/1996,72,190,Bemidji State University,7
Ihmir Smith-Marsette,WR,NYG,8/29/1999,73,185,Iowa,5
Jalin Hyatt,WR,NYG,9/25/2001,72,185,Tennessee,3
Jordan Bly,WR,NYG,,,,,
Malik Nabers,WR,NYG,7/28/2003,72,200,LSU,2
Montrell Washington,WR,NYG,3/14/1999,70,170,Samford,3
Wan'Dale Robinson,WR,NYG,1/5/2001,68,185,Kentucky,4
Korie Black,DB,"NYG, NYJ",6/22/2002,72,190,Oklahoma State,0
Xavier Gipson,WR,"NYG, NYJ, PHI",3/8/2001,69,189,Stephen F. Austin State,3
Isaiah Hodgins,WR,"NYG, PIT, SF",10/21/1998,75,201,Oregon State,4
Ryan Miller,WR,"NYG, TB",2/20/2000,74,221,Furman,2
Curtis Jacobs,LB,"NYG, TEN",2/18/2002,73,241,Penn State,2
Tre Hawkins III,DB,"NYG, WAS",8/1/2000,75,195,Old Dominion,3
Andre Cisco,DB,NYJ,3/23/2000,72,210,Syracuse,5
Azareye'h Thomas,DB,NYJ,7/6/2004,73,197,Florida State,0
Brandon Stephens,DB,NYJ,12/29/1997,73,215,SMU; UCLA,5
Dean Clark,DB,NYJ,6/1/2001,72,208,Fresno State; Kent State,0
Isaiah Oliver,DB,NYJ,9/30/1996,72,202,Colorado,8
Jarius Monroe,DB,NYJ,10/6/2000,74,205,Tulane; Colorado,1
Jordan Clark,DB,NYJ,4/22/2001,69,184,Notre Dame; Arizona State,0
Kris Boyd,DB,NYJ,11/12/1996,71,200,Texas,7
Malachi Moore,DB,NYJ,9/13/2001,71,196,Alabama,0
Mario Goodrich,DB,NYJ,1/12/2000,72,186,Clemson,1
Qwan'tez Stiggers,DB,NYJ,1/8/2002,72,197,,2
Ryan Cooper Jr.,DB,NYJ,8/31/2001,71,192,Oregon State,0
Tony Adams,DB,NYJ,1/24/1999,71,203,Illinois,4
Braiden McGregor,DL,NYJ,7/12/2001,78,267,Michigan,2
Byron Cowart,DL,NYJ,5/20/1996,75,300,Maryland; Auburn,5
Eric Watts,DL,NYJ,10/1/2000,77,277,Connecticut,2
Fatorma Mulbah,DL,NYJ,9/7/2002,76,306,West Virginia; Penn State,0
Harrison Phillips,DL,NYJ,1/25/1996,75,307,Stanford,8
Jay Tufele,DL,NYJ,7/25/1999,75,305,USC,5
Jowon Briggs,DL,NYJ,9/1/2001,73,313,Cincinnati; Virginia,2
Michael Fletcher,DL,NYJ,,,,,
Micheal Clemons,DL,NYJ,8/21/1997,77,263,Texas A&M,4
Payton Page,DL,NYJ,9/27/2002,76,300,Clemson,0
Tyler Baron,DL,NYJ,10/22/2001,76,258,Miami; Tennessee,0
Will McDonald IV,DL,NYJ,6/4/1999,76,245,Iowa State,3
Nick Folk,K,NYJ,11/5/1984,73,222,Arizona,18
Aaron Smith,LB,NYJ,,,,,
Cam Jones,LB,NYJ,10/21/1999,74,227,Indiana,3
Francisco Mauigoa,LB,NYJ,3/17/2003,74,233,Miami; Washington State,0
Ja'Markis Weston n,LB,NYJ,8/10/2000,74,235,Florida,0
Jackson Sirmon,LB,NYJ,4/15/2000,74,240,California; Washington,1
Jamien Sherwood,LB,NYJ,1/12/2000,74,216,Auburn,5
Jermaine Johnson II,LB,NYJ,1/8/1999,77,254,Florida State,4
Marcelino McCrary-Ball,LB,NYJ,3/23/1999,72,214,Indiana,2
Mykal Walker,LB,NYJ,8/28/1997,75,230,Fresno State,6
Quincy Williams,LB,NYJ,8/28/1996,71,230,Murray State,7
Will McDonald IV,LB,NYJ,6/4/1999,76,245,Iowa State,3
Thomas Hennessy,LS,NYJ,6/11/1994,74,246,Duke,9
Alijah Vera-Tucker,OL,NYJ,6/17/1999,77,308,USC,5
Armand Membou,OL,NYJ,3/27/2004,76,332,Missouri,0
Chukwuma Okorafor,OL,NYJ,8/8/1997,78,320,Western Michigan,7
Gus Hartwig,OL,NYJ,1/21/2002,77,309,Purdue,0
Joe Tippmann,OL,NYJ,3/24/2001,78,313,Wisconsin,3
John Simpson,OL,NYJ,8/19/1997,76,330,Clemson,6
Josh Myers,OL,NYJ,7/16/1998,77,310,Ohio State,5
Kohl Levao,OL,NYJ,2/21/1998,78,350,Hawaii; City College (SF),1
Leander Wiegand,OL,NYJ,8/24/1999,77,302,UCF,0
Liam Fornadel,OL,NYJ,6/17/1999,76,312,James Madison,1
Marquis Hayes,OL,NYJ,2/14/1999,77,318,Oklahoma,2
Max Mitchell,OL,NYJ,10/12/1999,78,307,Louisiana-Lafayette,4
Olumuyiwa Fashanu,OL,NYJ,12/9/2002,78,312,Penn State,2
Samuel Jackson,OL,NYJ,,,,,
Xavier Newman-Johnson,OL,NYJ,8/4/1999,74,297,Baylor,3
Austin McNamara,P,NYJ,2/24/2001,76,204,Texas Tech,1
Brady Cook,QB,NYJ,10/12/2001,74,215,Missouri,0
Jordan Travis,QB,NYJ,5/2/2000,73,200,Florida State; Louisville,0
Justin Fields,QB,NYJ,3/5/1999,75,227,Ohio State,5
Tyrod Taylor,QB,NYJ,8/3/1989,73,217,Virginia Tech,15
Andrew Beck,RB,NYJ,5/15/1996,75,255,Texas,6
Braelon Allen,RB,NYJ,1/20/2004,73,235,Wisconsin,2
Breece Hall,RB,NYJ,5/31/2001,71,217,Iowa State,4
Isaiah Davis,RB,NYJ,2/21/2002,73,220,South Dakota State,2
Kene Nwangwu,RB,NYJ,2/9/1998,73,210,Iowa State,5
Lawrance Toafili,RB,NYJ,11/30/2001,72,185,Florida State,0
Jelani Woods,TE,NYJ,10/9/1998,79,253,Virginia,4
Jeremy Ruckert,TE,NYJ,8/11/2000,77,250,Ohio State,4
Mason Taylor,TE,NYJ,5/8/2004,77,251,LSU,0
Neal Johnson,TE,NYJ,8/3/2001,76,250,Louisiana,0
Stone Smartt,TE,NYJ,10/4/1998,76,226,Old Dominion,4
Zack Kuntz,TE,NYJ,6/9/1999,80,251,Old Dominion; Penn State,1
Allen Lazard,WR,NYJ,12/11/1995,77,227,Iowa State,7
Arian Smith,WR,NYJ,10/11/2001,72,179,Georgia,0
Dymere Miller,WR,NYJ,,,,,
Garrett Wilson,WR,NYJ,7/22/2000,72,183,Ohio State,4
Irvin Charles,WR,NYJ,4/13/1997,76,219,"Indiana PA,  University of; Penn State",3
Jamaal Pritchett,WR,NYJ,6/10/2003,68,175,South Alabama; Tuskegee University,0
Josh Reynolds,WR,NYJ,2/16/1995,75,192,Texas A&M; Tyler JC,9
Pokey Wilson,WR,NYJ,,,,,
Quentin Skinner,WR,NYJ,12/24/2001,75,203,Kansas,0
Tyler Johnson,WR,NYJ,8/25/1998,73,208,Minnesota,5
Michael Carter II,DB,"NYJ, PHI",3/8/1999,70,184,Duke,5
Avery Williams,RB,"NYJ, PHI",7/15/1998,69,195,Boise State,5
Keilan Robinson,RB,"NYJ, PHI",2/16/2000,68,191,Texas; Alabama,2
John Metchie III,WR,"NYJ, PHI",7/18/2000,72,195,Alabama,3
Ja'Markis Weston,LB,"NYJ, SEA",8/10/2000,74,235,Florida,0
Jaylen Mahoney,DB,"NYJ, SF",11/19/2000,71,200,Vanderbilt,1
Adrian Martinez,QB,"NYJ, SF",1/7/2000,74,220,Kansas State; Nebraska,1
Jarvis Brownlee Jr.,DB,"NYJ, TEN",7/13/2001,70,194,Louisville; Florida,2
Samuel Womack,DB,"NYJ, TEN",7/7/1999,70,189,Toledo,4
Adoree' Jackson,DB,PHI,9/18/1995,71,185,USC,9
Ambry Thomas,DB,PHI,9/9/1999,72,190,Michigan,5
Andre' Sam,DB,PHI,2/9/1999,70,194,LSU; Marshall; McNeese State,1
Andrew Mukuba,DB,PHI,12/7/2002,71,186,Texas; Clemson,0
Brandon Johnson,DB,PHI,3/25/2003,70,185,Oregon; Duke,0
Cooper DeJean,DB,PHI,2/9/2003,72,198,Iowa,2
Eli Ricks,DB,PHI,9/26/2001,74,188,Alabama; LSU,3
Jakorian Bennett,DB,PHI,8/23/2000,70,200,Maryland,3
Kelee Ringo,DB,PHI,6/27/2002,74,207,Georgia,3
Lewis Cine,DB,PHI,10/5/1999,74,199,Georgia,3
Mac McWilliams,DB,PHI,11/29/2001,70,191,UCF; UAB,0
Marcus Epps,DB,PHI,1/27/1996,72,191,Wyoming,7
Parry Nickerson,DB,PHI,10/11/1994,70,182,Tulane,5
Quinyon Mitchell,DB,PHI,7/18/2001,72,193,Toledo,2
Reed Blankenship,DB,PHI,3/2/1999,73,203,Middle Tennessee State,4
Sydney Brown,DB,PHI,3/21/2000,70,211,Illinois,3
Tariq Castro-Fields,DB,PHI,1/14/1999,73,197,Penn State,3
Brandon Graham,DL,PHI,4/3/1988,74,265,Michigan,16
Byron Young,DL,PHI,11/10/2000,75,292,Alabama,3
Gabe Hall,DL,PHI,1/12/2001,78,295,Baylor,1
Jacob Sykes,DL,PHI,,,,,
Jalen Carter,DL,PHI,4/4/2001,75,314,Georgia,3
Jereme Robinson,DL,PHI,,,,,
Joe Evans,DL,PHI,,,,,
Jordan Davis,DL,PHI,1/12/2000,78,336,Georgia,4
Justin Rogers,DL,PHI,9/12/2001,75,346,Auburn,0
Moro Ojomo,DL,PHI,8/15/2001,75,292,Texas,3
Ogbo Okoronkwo,DL,PHI,4/24/1995,74,253,Oklahoma,8
Ty Robinson,DL,PHI,5/3/2001,77,288,Nebraska,0
Za'Darius Smith,DL,PHI,9/8/1992,76,270,Kentucky; East Mississippi JC,11
Jake Elliott,K,PHI,1/21/1995,69,167,Memphis,9
Azeez Ojulari,LB,PHI,6/16/2000,75,240,Georgia,5
Chance Campbell,LB,PHI,10/8/1999,74,232,Mississippi,4
Dallas Gant,LB,PHI,5/16/2000,74,224,Toledo; Ohio State,0
Jalyx Hunt,LB,PHI,3/13/2001,75,252,Houston Christian University; Cornell,2
Jeremiah Trotter Jr.,LB,PHI,12/24/2002,72,225,Clemson,2
Jihaad Campbell,LB,PHI,2/24/2004,75,235,Alabama,0
Joshua Uche,LB,PHI,9/18/1998,75,226,Michigan,6
Lance Dixon,LB,PHI,7/18/2001,74,233,Toledo,0
Nakobe Dean,LB,PHI,12/13/2000,71,231,Georgia,4
Nolan Smith,LB,PHI,1/18/2001,74,238,Georgia,3
Ogbo Okoronkwo,LB,PHI,4/24/1995,74,253,Oklahoma,8
Smael Mondon Jr.,LB,PHI,2/13/2003,74,225,Georgia,0
Za'Darius Smith,LB,PHI,9/8/1992,76,270,Kentucky; East Mississippi JC,11
Zack Baun,LB,PHI,12/30/1996,75,225,Wisconsin,6
Charley Hughlett,LS,PHI,5/16/1990,76,251,UCF,11
Brett Toth,OL,PHI,9/1/1996,78,304,Army,6
Cam Jurgens,OL,PHI,8/21/1999,75,303,Nebraska,4
Cameron Williams,OL,PHI,10/16/2003,78,317,Texas,0
Drew Kendall,OL,PHI,11/27/2001,76,308,Boston College,0
Fred Johnson,OL,PHI,6/5/1997,79,326,Florida,7
Hollin Pierce,OL,PHI,4/19/2001,80,344,Rutgers,0
Jordan Mailata,OL,PHI,3/31/1997,80,365,,8
Laekin Vakalahi,OL,PHI,1/28/2003,77,320,,0
Landon Dickerson,OL,PHI,9/30/1998,78,333,Alabama,5
Lane Johnson,OL,PHI,5/8/1990,78,325,Oklahoma; Kilgore,13
Luke Felix-Fualalo,OL,PHI,2/2/2000,80,310,Hawaii; Utah,0
Matt Pryor,OL,PHI,12/16/1994,79,332,TCU,8
Myles Hinton,OL,PHI,1/9/2002,78,323,Michigan; Stanford,0
Tyler Steen,OL,PHI,6/24/2000,78,321,Alabama; Vanderbilt,3
Willie Lampkin,OL,PHI,1/22/2002,71,290,North Carolina; Coastal Carolina,0
Braden Mann,P,PHI,11/24/1997,71,198,Texas A&M,6
Dorian Thompson-Robinson,QB,PHI,11/14/1999,74,203,UCLA,2
Jalen Hurts,QB,PHI,8/7/1998,73,223,Oklahoma; Alabama,6
Kyle McCord,QB,PHI,9/19/2002,75,218,Syracuse; Ohio State,0
Sam Howell,QB,PHI,9/16/2000,73,220,North Carolina,4
Tanner McKee,QB,PHI,4/27/2000,78,230,Stanford,3
AJ Dillon,RB,PHI,5/2/1998,72,247,Boston College,6
Ben VanSumeren,RB,PHI,5/5/2000,74,231,Michigan State; Michigan,3
Saquon Barkley,RB,PHI,2/9/1997,72,232,Penn State,8
ShunDerrick Powell,RB,PHI,,,,,
Will Shipley,RB,PHI,8/29/2002,71,210,Clemson,2
Cameron Latu,TE,PHI,2/24/2000,77,244,Alabama,2
Dallas Goedert,TE,PHI,1/3/1995,77,256,South Dakota State,8
E.J. Jenkins,TE,PHI,11/3/1998,78,245,Georgia Tech; South Carolina; St. Francis PA,2
Grant Calcaterra,TE,PHI,12/4/1998,76,240,SMU; Oklahoma,4
Kylen Granson,TE,PHI,3/27/1998,75,242,SMU,5
A.J. Brown,WR,PHI,6/30/1997,73,226,Mississippi,7
Britain Covey,WR,PHI,3/18/1997,68,173,Utah,4
Danny Gray,WR,PHI,4/1/1999,72,200,SMU,3
Darius Cooper,WR,PHI,11/22/2001,71,210,Tarleton State,0
DeVonta Smith,WR,PHI,11/14/1998,72,170,Alabama,5
Ife Adeyi,WR,PHI,,,,,
Jahan Dotson,WR,PHI,3/22/2000,71,184,Penn State,4
Johnny Wilson,WR,PHI,4/3/2001,78,228,Florida State; Arizona State,2
Quez Watkins,WR,PHI,6/9/1998,72,193,Southern Mississippi,5
Taylor Morin,WR,PHI,,,,,
Terrace Marshall Jr.,WR,PHI,6/9/2000,74,200,LSU,5
Maxen Hook,DB,"PHI, SEA",8/19/2001,72,203,Toledo,0
Jake Majors,OL,"PHI, TB",1/17/2002,75,315,Texas,0
Sua Opeta,OL,"PHI, TB",8/15/1996,76,305,Weber State,6
Asante Samuel Jr.,DB,PIT,10/3/1999,70,180,Florida State,5
Brandin Echols,DB,PIT,10/16/1997,70,179,Kentucky,5
Cameron McCutcheon,DB,PIT,4/3/2000,73,204,Western Carolina; Gardner-Webb,1
Chuck Clark,DB,PIT,4/19/1995,72,209,Virginia Tech,9
Cory Trice Jr.,DB,PIT,5/30/2000,75,206,Purdue,3
D'Shawn Jamison,DB,PIT,6/4/1999,70,186,Texas,2
DeShon Elliott,DB,PIT,4/21/1997,73,210,Texas,8
Donte Kent,DB,PIT,9/28/2001,70,189,Central Michigan,0
Jalen Ramsey,DB,PIT,10/24/1994,73,211,Florida State,10
James Pierre,DB,PIT,9/16/1996,74,185,Florida Atlantic,6
Joey Porter Jr.,DB,PIT,7/26/2000,74,194,Penn State,3
Kam Alexander,DB,PIT,,,,,
Kyler McMichael,DB,PIT,3/22/2000,72,202,North Carolina,1
Mikey Victor,DB,PIT,,,,,
Miles Killebrew,DB,PIT,5/10/1993,74,222,Southern Utah State,10
Quindell Johnson,DB,PIT,11/5/1999,73,205,Memphis,2
Cameron Heyward,DL,PIT,5/6/1989,77,295,Ohio State,15
Daniel Ekuale,DL,PIT,1/13/1994,75,300,Washington State,7
Dean Lowry,DL,PIT,6/9/1994,78,296,Northwestern,10
Derrick Harmon,DL,PIT,8/3/2003,76,313,Oregon; Michigan State,0
Domenique Davis,DL,PIT,2/28/1996,74,326,UNC Pembroke,1
Esezi Otomewo,DL,PIT,3/9/1999,77,282,Minnesota,3
Isaiahh Loudermilk,DL,PIT,10/10/1997,79,293,Wisconsin,5
Jacob Slade,DL,PIT,2/23/2000,75,293,Michigan State,1
Keeanu Benton,DL,PIT,7/17/2001,76,309,Wisconsin,3
Kenny Willekes,DL,PIT,7/22/1997,75,264,Michigan State,3
Kyler Baugh,DL,PIT,11/28/2001,74,305,Minnesota; Houston Christian University,1
Logan Lee,DL,PIT,6/12/2000,77,286,Iowa,2
Yahya Black,DL,PIT,4/21/2002,77,336,Iowa,0
Chris Boswell,K,PIT,3/16/1991,74,185,Rice,11
Alex Highsmith,LB,PIT,8/7/1997,76,242,Charlotte,6
Carson Bruener,LB,PIT,6/6/2001,74,226,Washington,0
Cole Holcomb,LB,PIT,7/30/1996,73,240,North Carolina,7
DeMarvin Leal,LB,PIT,7/1/2000,76,290,Texas A&M,4
Ja'Whaun Bentley,LB,PIT,8/24/1996,74,250,Purdue,8
Jack Sawyer,LB,PIT,5/6/2002,76,260,Ohio State,0
Julius Welschof,LB,PIT,3/12/1997,78,265,Charlotte,1
Malik Harrison,LB,PIT,3/5/1998,75,247,Ohio State,6
Nick Herbig,LB,PIT,11/21/2001,74,240,Wisconsin,3
Patrick Queen,LB,PIT,8/13/1999,72,232,LSU,6
Payton Wilson,LB,PIT,4/21/2000,76,242,N.C. State,2
T.J. Watt,LB,PIT,10/11/1994,76,252,Wisconsin,9
Christian Kuntz,LS,PIT,4/13/1994,73,228,Duquesne,5
Andrus Peat,OL,PIT,11/4/1993,79,316,Stanford,11
Broderick Jones,OL,PIT,5/16/2001,77,311,Georgia,3
Calvin Anderson,OL,PIT,3/25/1996,77,300,Texas; Rice,7
Doug Nester,OL,PIT,8/7/2000,78,306,West Virginia; Virginia Tech,1
Dylan Cook,OL,PIT,1/11/1998,78,305,Montana; Northern Montana State University,3
Gareth Warren,OL,PIT,8/5/2003,78,333,Lindenwood,0
Isaac Seumalo,OL,PIT,10/29/1993,76,303,Oregon State,10
Jack Driscoll,OL,PIT,4/1/1997,77,312,Auburn; UMass Amherst,6
Julian Pearl,OL,PIT,10/6/1999,78,315,Illinois,0
Mason McCormick,OL,PIT,5/25/2000,77,315,South Dakota State,2
Max Scharping,OL,PIT,8/10/1996,78,327,Northern Illinois,7
Ryan McCollum,OL,PIT,3/4/1998,77,300,Texas A&M,3
Spencer Anderson,OL,PIT,6/7/2000,77,305,Maryland,3
Steven Jones,OL,PIT,9/6/2000,77,342,Oregon,1
Troy Fautanu,OL,PIT,10/11/2000,76,317,Washington,2
Zach Frazier,OL,PIT,8/29/2001,75,310,West Virginia,2
Corliss Waitman,P,PIT,7/21/1995,74,210,South Alabama,3
Aaron Rodgers,QB,PIT,12/2/1983,74,223,California; Butte College,21
Mason Rudolph,QB,PIT,7/17/1995,77,235,Oklahoma State,8
Skylar Thompson,QB,PIT,6/4/1997,74,219,Kansas State,4
Will Howard,QB,PIT,9/24/2001,76,235,Ohio State; Kansas State,0
Jaylen Warren,RB,PIT,11/1/1998,68,215,Oklahoma State,4
Kaleb Johnson,RB,PIT,8/14/2003,72,225,Iowa,0
Kenneth Gainwell,RB,PIT,3/14/1999,69,200,Memphis,5
Lew Nichols III,RB,PIT,8/16/2001,70,220,Central Michigan,1
Max Hurleman,RB,PIT,10/19/2001,71,200,Notre Dame; Colgate,0
Trey Sermon,RB,PIT,1/30/1999,72,215,Ohio State; Oklahoma,5
Connor Heyward,TE,PIT,1/22/1999,72,230,Michigan State,4
Darnell Washington,TE,PIT,8/17/2001,79,265,Georgia,3
Donald Parham,TE,PIT,8/16/1997,80,237,Stetson,5
JJ Galbreath,TE,PIT,8/5/2001,76,231,South Dakota,0
Jonnu Smith,TE,PIT,8/22/1995,75,248,Florida International,9
Kevin Foelsch,TE,PIT,4/13/2001,76,250,University of New Haven,0
Pat Freiermuth,TE,PIT,10/25/1998,77,258,Penn State,5
Ben Skowronek,WR,PIT,6/27/1997,75,224,Notre Dame; Northwestern,5
Calvin Austin III,WR,PIT,3/24/1999,69,162,Memphis,4
DK Metcalf,WR,PIT,12/14/1997,76,229,Mississippi,7
Robert Woods,WR,PIT,4/10/1992,72,193,USC,12
Roman Wilson,WR,PIT,6/19/2001,70,186,Michigan,2
Scott Miller,WR,PIT,7/31/1997,69,174,Bowling Green,7
John Rhys Plumlee,WR,"PIT, SEA",1/2/2001,72,200,UCF; Mississippi,1
Marquez Valdes-Scantling,WR,"PIT, SF",10/10/1994,76,206,University of South Florida; N.C. State,8
Sebastian Castro,DB,"PIT, TB",10/14/2000,71,203,Iowa,0
Rakim Jarrett,WR,"PIT, TB",1/24/2001,72,192,Maryland,3
Lance McCutcheon,WR,"PIT, TEN",2/28/1999,75,202,Montana State,2
AJ Finley,DB,SEA,9/14/2001,74,202,Mississippi,3
Coby Bryant,DB,SEA,3/29/1999,73,193,Cincinnati,4
Devon Witherspoon,DB,SEA,12/11/2000,72,185,Illinois,3
Josh Jobe,DB,SEA,4/9/1998,71,190,Alabama,4
Julian Love,DB,SEA,3/19/1998,71,195,Notre Dame,7
Nehemiah Pritchett,DB,SEA,2/11/2001,72,188,Auburn,2
Nick Emmanwori,DB,SEA,2/7/2004,75,220,South Carolina,0
Riq Woolen,DB,SEA,5/2/1999,76,210,Texas-San Antonio,4
Shaquill Griffin,DB,SEA,7/20/1995,72,198,UCF,9
